Nickname,Name,Emotion,Dont' Start now,Hot Stuff,Machu Picchu,Chica Ideal,Dar es Dar,Free,Hotel California,In the End,Set Fire tot he Rain,La Promesa,La Flaca,Las Rosas,Wish you were Here,Chop Suey!,Last Resort,Jamming,Felicidad,Olvidala,La invitación,La carretera,El niagara en Bicicleta,Enter Sandman,The trooper,Despacito,Taki Taki,Fly me to the moon,Summertime,Lloraras,Valio la Pena
alexisH789,Alexis Herraiz,neutral,3,2,3,4,2,4,3,2,4,1,4,2,1,3,4,2,2,1,4,2,4,1,3,4,4,3,3,2,3
jeanM454,Jean Melian,neutral,4,3,3,3,1,3,3,3,3,1,3,3,4,3,4,3,3,1,3,3,5,1,4,3,4,4,4,2,2
estrellita686,Estrella Orellana,neutral,2,4,2,4,3,4,4,4,2,3,4,2,2,4,3,2,4,1,3,2,4,2,3,3,3,3,3,2,3
ramexpo337,Ramona Exposito,neutral,2,4,3,3,2,3,3,2,2,2,3,2,3,4,2,3,3,1,3,3,3,2,4,3,4,4,4,2,4
guillemC606,Guillem Calle,neutral,1,3,4,4,2,4,4,2,3,3,4,2,2,4,4,4,2,1,3,2,4,1,3,3,3,3,4,2,3
hananeM458,Hanane Miralles,neutral,2,3,2,3,1,3,3,1,3,2,3,3,3,2,4,4,2,1,3,3,5,2,4,4,3,4,4,1,2
lourdesSac003,Lourdes Sacristan,neutral,3,2,3,4,2,3,2,2,3,2,4,2,2,2,4,4,3,2,4,4,4,1,3,3,2,3,4,2,3
natarjo006,Natalia Arjona,neutral,3,3,3,2,1,3,3,3,5,3,5,3,3,3,3,3,4,2,4,4,3,2,4,2,2,4,3,3,3
abrahanClim007,Abraham Climent,neutral,2,4,2,1,2,2,4,3,4,1,5,2,2,4,2,4,3,3,3,4,5,1,3,5,2,3,3,4,3
pablito009,Pablo Lorenzo,neutral,4,2,1,4,3,5,3,2,2,2,4,3,3,3,3,4,2,4,2,3,4,1,4,4,5,3,2,3,4
saraiR003,Sarai Rodrigo,neutral,2,2,3,3,3,4,4,1,2,1,3,4,2,2,3,3,4,5,4,1,2,2,2,3,4,3,2,2,4
andreujoa005,Joaquina Andreu,neutral,4,2,3,4,3,3,5,2,3,2,4,4,3,3,2,2,4,2,4,1,4,2,4,3,4,4,3,2,4
arnaizj012,Jordi Arnaiz,neutral,3,4,3,3,4,2,3,3,3,2,5,4,2,3,2,2,4,3,3,1,4,2,5,3,4,4,3,2,4
materos130,Mateo Rosello,neutral,2,2,3,4,3,3,3,4,2,3,4,5,3,4,3,3,4,2,4,2,3,2,3,3,3,3,4,2,4
mazanah202,Nahia Maza,neutral,2,2,2,3,2,2,2,3,2,2,5,2,2,4,4,2,3,3,3,2,3,3,4,4,4,4,3,2,4
revillaMoh303,Mohammed Revilla,neutral,2,3,4,2,3,4,3,2,1,1,4,2,4,4,4,2,2,2,2,2,1,1,5,2,5,3,4,1,4
joanVel404,Joan Velez,neutral,4,3,3,4,4,2,4,2,1,2,5,4,1,3,3,1,3,3,5,2,2,2,4,3,5,4,3,1,3
rojasSergi505,Sergi rojas,neutral,2,2,3,3,4,2,3,3,1,2,4,4,1,2,4,2,4,2,5,3,1,1,5,4,5,2,3,1,4
georgeL403,George Lazaro,neutral,1,1,3,2,3,2,3,3,2,3,3,4,2,2,3,3,3,2,4,3,2,2,5,3,5,3,3,3,4
mueloliva909,Samuel Oliva,neutral,3,1,4,2,2,3,3,2,3,2,2,3,3,3,2,2,2,2,4,2,1,2,4,4,4,4,4,3,3
ayuobSol898,Ayuob Solana,neutral,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0
moroD575,Dumitru Moro,neutral,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0
vicenteioan575,Ioan Vicente,neutral,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0
saraH733,Sara Hincapie,neutral,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0
cristiang777,Cristian Gomez,neutral,0,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,1,5,0,0,0,0
paulaF205,Paula Fuentes,neutral,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,0,0,0
